Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"R3,R4",R_0805_2012Metric,2,5K1,
2,"LED2,LED5",LEDC2012X120N,2,LTST-C170GKT,
3,R6,R_0805_2012Metric,1,20K,
4,"C2,C8,C18,C14,C5,C21,C1,C10,C15,C13",C_0805_2012Metric,10,0.1u,
5,R12,R_0805_2012Metric,1,22K1,
6,C16,C_0805_2012Metric,1,0.1U,
7,"LED4,LED6,LED1",LEDC2012X120N,3,LTST-C170KRKT,
8,"R5,R26,R28",R_0805_2012Metric,3,2K,
9,"C22,C11,C19,C6",C_0805_2012Metric,4,1u,
10,LED3,LEDC2012X120N,1,LTST-C170TBKT,
11,Q1,TRANS_TEMT6000X01,1,TEMT6000X01,
12,S2,SW_USLPT2819DT2TR,1,RESET,
13,U6,SOIC127P790X216-8N,1,W25Q32JVSSIQ,
14,"R7,R14,R9,R8,R18,R10",R_0805_2012Metric,6,470,
15,"R15,R22,R16,R20",R_0805_2012Metric,4,50,
16,U7,SOT65P210X110-5N,1,MAX4466EXK,
17,"R27,R29",R_0805_2012Metric,2,1M,
18,"R24,R25",R_0805_2012Metric,2,4K7,
19,U5,SOT-23-6,1,USBLC6-2SC6,
20,"TP3,TP5,TP4,TP2,TP1",TestPoint_Pad_D1.0mm,5,TestPoint,
21,J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
22,U2,PSON65P250X250X100-8N,1,BME280,
23,"R23,R19,R33,R32,R34,R30,R2,R1",R_0805_2012Metric,8,10K,
24,J5,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
25,"Q2,Q3",SOT-23,2,BC817,
26,U4,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CP2102N-Axx-xQFN20,
27,F1,FUSC3226X100N,1,0ZCH0110AF2E,
28,S1,SW_USLPT2819DT2TR,1,BOOT,
29,R11,R_0805_2012Metric,1,1K,
30,U3,MODULE_ESP32-C3-WROOM-02-H4,1,ESP32-C3-WROOM-02-H4,
31,U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-2CAI_ML,
32,C9,T491A,1,4.7u,
33,J2,JST_B2B-PH-SM4-TB,1,B2B-PH-SM4-TB,
34,C17,C_0805_2012Metric,1,0.01U,
35,C20,C_0805_2012Metric,1,100p,
36,R13,R_0805_2012Metric,1,47K5,
37,"C12,C3,C7,C4",T491A,4,10u,
38,MK1,CUI_CMC-5042PF-AC,1,CMC-5042PF-AC,
39,R31,R_0805_2012Metric,1,100K,
40,J1,BELFUSE_SS-52400-002,1,SS-52400-002,
41,VR1,VREG_LM1117MPX-3.3,1,LM1117MPX-3.3,
42,J3,AMPHENOL_GSD090012SEU,1,GSD090012SEU,